,dteday,yr,mnth,hr,weekday,season,weathersit,cnt,registered,casual
0,2011-01-01,2011,January,0,Saturday,,Clear,16,13,3
1,2011-01-01,2011,January,1,Saturday,,Clear,40,32,8
2,2011-01-01,2011,January,2,Saturday,,Clear,32,27,5
3,2011-01-01,2011,January,3,Saturday,,Clear,13,10,3
4,2011-01-01,2011,January,4,Saturday,,Clear,1,1,0
5,2011-01-01,2011,January,5,Saturday,,Cloudy,1,1,0
6,2011-01-01,2011,January,6,Saturday,,Clear,2,0,2
7,2011-01-01,2011,January,7,Saturday,,Clear,3,2,1
8,2011-01-01,2011,January,8,Saturday,,Clear,8,7,1
9,2011-01-01,2011,January,9,Saturday,,Clear,14,6,8
10,2011-01-01,2011,January,10,Saturday,,Clear,36,24,12
11,2011-01-01,2011,January,11,Saturday,,Clear,56,30,26
12,2011-01-01,2011,January,12,Saturday,,Clear,84,55,29
13,2011-01-01,2011,January,13,Saturday,,Cloudy,94,47,47
14,2011-01-01,2011,January,14,Saturday,,Cloudy,106,71,35
15,2011-01-01,2011,January,15,Saturday,,Cloudy,110,70,40
16,2011-01-01,2011,January,16,Saturday,,Cloudy,93,52,41
17,2011-01-01,2011,January,17,Saturday,,Cloudy,67,52,15
18,2011-01-01,2011,January,18,Saturday,,Light Snow/Rain,35,26,9
19,2011-01-01,2011,January,19,Saturday,,Light Snow/Rain,37,31,6
20,2011-01-01,2011,January,20,Saturday,,Cloudy,36,25,11
21,2011-01-01,2011,January,21,Saturday,,Cloudy,34,31,3
22,2011-01-01,2011,January,22,Saturday,,Cloudy,28,17,11
23,2011-01-01,2011,January,23,Saturday,,Cloudy,39,24,15
24,2011-01-02,2011,January,0,Sunday,,Cloudy,17,13,4
25,2011-01-02,2011,January,1,Sunday,,Cloudy,17,16,1
26,2011-01-02,2011,January,2,Sunday,,Cloudy,9,8,1
27,2011-01-02,2011,January,3,Sunday,,Cloudy,6,4,2
28,2011-01-02,2011,January,4,Sunday,,Cloudy,3,1,2
29,2011-01-02,2011,January,6,Sunday,,Light Snow/Rain,2,2,0
30,2011-01-02,2011,January,7,Sunday,,Cloudy,1,1,0
31,2011-01-02,2011,January,8,Sunday,,Light Snow/Rain,8,8,0
32,2011-01-02,2011,January,9,Sunday,,Cloudy,20,19,1
33,2011-01-02,2011,January,10,Sunday,,Cloudy,53,46,7
34,2011-01-02,2011,January,11,Sunday,,Cloudy,70,54,16
35,2011-01-02,2011,January,12,Sunday,,Cloudy,93,73,20
36,2011-01-02,2011,January,13,Sunday,,Cloudy,75,64,11
37,2011-01-02,2011,January,14,Sunday,,Light Snow/Rain,59,55,4
38,2011-01-02,2011,January,15,Sunday,,Light Snow/Rain,74,55,19
39,2011-01-02,2011,January,16,Sunday,,Light Snow/Rain,76,67,9
40,2011-01-02,2011,January,17,Sunday,,Clear,65,58,7
41,2011-01-02,2011,January,18,Sunday,,Cloudy,53,43,10
42,2011-01-02,2011,January,19,Sunday,,Clear,30,29,1
43,2011-01-02,2011,January,20,Sunday,,Clear,22,17,5
44,2011-01-02,2011,January,21,Sunday,,Clear,31,20,11
45,2011-01-02,2011,January,22,Sunday,,Clear,9,9,0
46,2011-01-02,2011,January,23,Sunday,,Clear,8,8,0
47,2011-01-03,2011,January,0,Monday,,Clear,5,5,0
48,2011-01-03,2011,January,1,Monday,,Clear,2,2,0
49,2011-01-03,2011,January,4,Monday,,Clear,1,1,0
50,2011-01-03,2011,January,5,Monday,,Clear,3,3,0
51,2011-01-03,2011,January,6,Monday,,Clear,30,30,0
52,2011-01-03,2011,January,7,Monday,,Clear,64,63,1
53,2011-01-03,2011,January,8,Monday,,Clear,154,153,1
54,2011-01-03,2011,January,9,Monday,,Clear,88,81,7
55,2011-01-03,2011,January,10,Monday,,Clear,44,33,11
56,2011-01-03,2011,January,11,Monday,,Clear,51,41,10
57,2011-01-03,2011,January,12,Monday,,Clear,61,48,13
58,2011-01-03,2011,January,13,Monday,,Clear,61,53,8
59,2011-01-03,2011,January,14,Monday,,Clear,77,66,11
60,2011-01-03,2011,January,15,Monday,,Clear,72,58,14
61,2011-01-03,2011,January,16,Monday,,Clear,76,67,9
62,2011-01-03,2011,January,17,Monday,,Clear,157,146,11
63,2011-01-03,2011,January,18,Monday,,Clear,157,148,9
64,2011-01-03,2011,January,19,Monday,,Clear,110,102,8
65,2011-01-03,2011,January,20,Monday,,Clear,52,49,3
66,2011-01-03,2011,January,21,Monday,,Clear,52,49,3
67,2011-01-03,2011,January,22,Monday,,Clear,20,20,0
68,2011-01-03,2011,January,23,Monday,,Clear,12,11,1
69,2011-01-04,2011,January,0,Tuesday,,Clear,5,5,0
70,2011-01-04,2011,January,1,Tuesday,,Clear,2,2,0
71,2011-01-04,2011,January,2,Tuesday,,Clear,1,1,0
72,2011-01-04,2011,January,4,Tuesday,,Clear,2,2,0
73,2011-01-04,2011,January,5,Tuesday,,Clear,4,4,0
74,2011-01-04,2011,January,6,Tuesday,,Clear,36,36,0
75,2011-01-04,2011,January,7,Tuesday,,Clear,94,92,2
76,2011-01-04,2011,January,8,Tuesday,,Clear,179,177,2
77,2011-01-04,2011,January,9,Tuesday,,Clear,100,98,2
78,2011-01-04,2011,January,10,Tuesday,,Cloudy,42,37,5
79,2011-01-04,2011,January,11,Tuesday,,Clear,57,50,7
80,2011-01-04,2011,January,12,Tuesday,,Clear,78,66,12
81,2011-01-04,2011,January,13,Tuesday,,Clear,97,79,18
82,2011-01-04,2011,January,14,Tuesday,,Clear,63,54,9
83,2011-01-04,2011,January,15,Tuesday,,Clear,65,48,17
84,2011-01-04,2011,January,16,Tuesday,,Clear,83,68,15
85,2011-01-04,2011,January,17,Tuesday,,Clear,212,202,10
86,2011-01-04,2011,January,18,Tuesday,,Clear,182,179,3
87,2011-01-04,2011,January,19,Tuesday,,Clear,112,110,2
88,2011-01-04,2011,January,20,Tuesday,,Clear,54,53,1
89,2011-01-04,2011,January,21,Tuesday,,Clear,48,48,0
90,2011-01-04,2011,January,22,Tuesday,,Clear,35,34,1
91,2011-01-04,2011,January,23,Tuesday,,Clear,11,9,2
92,2011-01-05,2011,January,0,Wednesday,,Clear,6,6,0
93,2011-01-05,2011,January,1,Wednesday,,Clear,6,6,0
94,2011-01-05,2011,January,2,Wednesday,,Clear,2,2,0
95,2011-01-05,2011,January,4,Wednesday,,Clear,2,2,0
96,2011-01-05,2011,January,5,Wednesday,,Clear,3,3,0
97,2011-01-05,2011,January,6,Wednesday,,Clear,33,33,0
98,2011-01-05,2011,January,7,Wednesday,,Clear,88,87,1
99,2011-01-05,2011,January,8,Wednesday,,Clear,195,192,3
100,2011-01-05,2011,January,9,Wednesday,,Clear,115,109,6
101,2011-01-05,2011,January,10,Wednesday,,Clear,57,53,4
102,2011-01-05,2011,January,11,Wednesday,,Clear,46,34,12
103,2011-01-05,2011,January,12,Wednesday,,Clear,79,74,5
104,2011-01-05,2011,January,13,Wednesday,,Clear,71,65,6
105,2011-01-05,2011,January,14,Wednesday,,Clear,62,52,10
106,2011-01-05,2011,January,15,Wednesday,,Clear,62,55,7
107,2011-01-05,2011,January,16,Wednesday,,Clear,89,85,4
108,2011-01-05,2011,January,17,Wednesday,,Clear,190,186,4
109,2011-01-05,2011,January,18,Wednesday,,Clear,169,166,3
110,2011-01-05,2011,January,19,Wednesday,,Clear,132,127,5
111,2011-01-05,2011,January,20,Wednesday,,Clear,89,82,7
112,2011-01-05,2011,January,21,Wednesday,,Clear,43,40,3
113,2011-01-05,2011,January,22,Wednesday,,Clear,42,41,1
114,2011-01-05,2011,January,23,Wednesday,,Clear,19,18,1
115,2011-01-06,2011,January,0,Thursday,,Clear,11,11,0
116,2011-01-06,2011,January,1,Thursday,,Clear,4,4,0
117,2011-01-06,2011,January,2,Thursday,,Clear,2,2,0
118,2011-01-06,2011,January,4,Thursday,,Cloudy,1,1,0
119,2011-01-06,2011,January,5,Thursday,,Cloudy,4,4,0
120,2011-01-06,2011,January,6,Thursday,,Cloudy,36,36,0
121,2011-01-06,2011,January,7,Thursday,,Cloudy,95,95,0
122,2011-01-06,2011,January,8,Thursday,,Clear,219,216,3
123,2011-01-06,2011,January,9,Thursday,,Cloudy,122,116,6
124,2011-01-06,2011,January,10,Thursday,,Clear,45,42,3
125,2011-01-06,2011,January,11,Thursday,,Clear,59,57,2
126,2011-01-06,2011,January,12,Thursday,,Clear,84,78,6
127,2011-01-06,2011,January,13,Thursday,,Clear,67,55,12
128,2011-01-06,2011,January,14,Thursday,,Clear,70,59,11
129,2011-01-06,2011,January,15,Thursday,,Clear,62,54,8
130,2011-01-06,2011,January,16,Thursday,,Clear,86,74,12
131,2011-01-06,2011,January,17,Thursday,,Clear,172,163,9
132,2011-01-06,2011,January,18,Thursday,,Clear,163,158,5
133,2011-01-06,2011,January,19,Thursday,,Clear,112,109,3
134,2011-01-06,2011,January,20,Thursday,,Clear,69,66,3
135,2011-01-06,2011,January,21,Thursday,,Cloudy,48,48,0
136,2011-01-06,2011,January,22,Thursday,,Cloudy,52,51,1
137,2011-01-06,2011,January,23,Thursday,,Cloudy,23,19,4
